Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C15, C3",0805,4,10uF,
"C10, C11",CP_Radial_D8.0mm_P3.50mm,2,220uF,
"C12, C14, C16, C17, C2, C5, C6, C7, C9",0805,9,0.1uF,
C4,CP_Radial_D10.0mm_P5.00mm,1,470uF,
C8,0805,1,0.47uF,
"D1, D2, D5, D6",D_DO-35_SOD27_P7.62mm_Horizontal,4,1N4148,
"D3, D4",0603,2,LED,
"J1, J2",AMASS_XT60PW-F_1x02_P7.20mm_Horizontal,2,XT60_Female_Horizontal,
"J3, J4",JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,2,XH_01x02_Vertical,
J5,AMASS_XT60PW-M_1x02_P7.20mm_Horizontal,1,XT60_Male_Horizontal,
"J6, J7",JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,2,Conn_01x04_Pin,
LDO1,TO-252-2,1,NJM7805,
"Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8",TO-220-3_Horizontal_TabUp,8,TK7R4A10PL_TabUp,
"R1, R15, R16, R17, R19, R2, R3, R4",0603,8,R47k,
"R10, R13, R14, R18, R20, R7, R8, R9",0603,8,4.7,
"R11, R21, R22, R6",0603,4,470,
"R12, R5",0603,2,R3k,
"U1, U2, U3, U4",SOP-8_3.9x4.9mm_P1.27mm,4,IR2302,
"U5, U6, U7, U8",SO-6L_10x3.84mm_P1.27mm,4,TLP2745,
